pitch,age,gender,speaking_rate,speech_monotony,accent,desc0,desc1,desc2,desc3,desc4,desc5,desc6,desc7,desc8,desc9
slightly low-pitch,teenager,female,moderate speed,monotone,unknown,"A teenage female voice with a slightly low pitch, moderate speed, and a monotone delivery.","This is a teenage girl’s voice, slightly low in pitch, speaking at a moderate pace with a monotone style.","A female teenager speaks here with a slightly low pitch, moderate speaking rate, and a flat tone.","The voice sounds like a teenage female, a bit low-pitched, moderately paced, and monotone.",A slightly low-pitched teenage female voice that speaks at a moderate speed and stays monotone.,"This speaker has a teenage female voice, slightly low in pitch, with moderate speed and a monotone quality.",A monotone teenage female voice with a slightly low pitch and a moderate speaking rate.,"The profile suggests a teenage girl with a slightly low-pitched voice, speaking moderately and without much variation.","A female teenager’s voice, slightly low in pitch, moving at a moderate pace and sounding monotone.","This voice belongs to a teenage female, with slightly low pitch, moderate speed, and a consistently monotone delivery."
slightly low-pitch,teenager,female,moderate speed,unknown,unknown,A teenage female voice with a slightly low pitch and a moderate speaking rate.,"This is a teen girl's voice, slightly low in pitch and spoken at a moderate pace.","A female teenager speaks here with a slightly low-pitched, moderate-speed delivery.","The voice sounds like a teenage girl with a mildly low pitch and steady, moderate pacing.",A teenage female voice comes across as slightly low-pitched and moderately paced.,"This speaker sounds like a teen girl, with a slightly low pitch and a moderate rate of speech.","A young female teen voice with a slightly low pitch and a calm, moderate speaking speed.",The voice belongs to a teenage girl and has a slightly low pitch with moderate speed.,A female teen speaks in a slightly low register at a moderate pace.,"This is a teenage female voice, lightly low in pitch and delivered at moderate speed."
slightly low-pitch,teenager,female,moderate speed,very monotone,unknown,"A teenage female voice with a slightly low pitch, moderate pace, and a very monotone delivery.","This is a teenage girl’s voice, slightly low-pitched, spoken at a moderate speed with a very monotone tone.",A very monotone teenage female voice that sounds slightly low in pitch and moves at a moderate pace.,"The voice belongs to a teenage female speaker with a slightly low pitch and a calm, moderate speaking rate, but it stays very monotone.",A slightly low-pitched teenage girl’s voice delivered at a moderate speed and with very little variation in tone.,"This profile sounds like a teenage female voice that is slightly low in pitch, speaks moderately fast, and remains very monotone.","A teenage female speaker with a slightly low voice, moderate speech rate, and a strongly monotone style.","The voice is female and teenage, with a slightly low pitch, moderate pace, and a very flat, monotone quality.",A very monotone teenage girl’s voice that sits slightly low in pitch and speaks at a moderate speed.,"This is a teenage female voice with slightly low pitch, moderate speaking speed, and an extremely monotone delivery."
slightly low-pitch,teenager,female,moderate speed,very expressive and animated,unknown,"A teenage female voice with a slightly low pitch, moderate speaking speed, and very expressive, animated delivery.","This is a teenage girl's voice, slightly low in pitch, spoken at a moderate pace with lively expression.","A female teenage voice that sounds slightly low-pitched, moves at a moderate speed, and feels highly animated.","A teen female voice with a mildly low pitch and moderate speaking rate, full of expression and energy.","This voice belongs to a teenage female speaker, with a slightly low pitch, moderate pace, and very animated speech.",A slightly low-pitched teenage girl’s voice that speaks at a moderate speed and sounds very expressive.,"A female teen voice with a touch of low pitch, moderate pacing, and a lively, animated style.","This speaker has a teenage female voice, slightly low in pitch, with moderate speed and strong expressiveness.",A moderately paced teenage female voice that is slightly low-pitched and highly animated in tone.,"A teenage girl's voice with a slightly low pitch, spoken at a moderate speed and delivered in a very expressive way."
slightly low-pitch,teenager,female,fast,expressive and animated,unknown,"A teenage female voice with a slightly low pitch, fast delivery, and an expressive, animated style.",This is a fast-speaking teenage female voice that sounds slightly low-pitched and very animated.,A slightly low-pitched teenage girl’s voice that speaks quickly and sounds expressive.,"The voice is female and teenage, with a slightly low pitch, rapid pace, and lively expression.","A fast, animated teenage female voice with a slightly low-pitch quality.","This voice sounds like a teenager with a female tone, slightly low pitch, and quick, expressive speech.",A lively teenage female voice that speaks fast and has a slightly low-pitched sound.,"The speaker has a teenage female voice that is fast, expressive, and a bit low in pitch.",A slightly low-pitched female teen voice with a quick pace and animated delivery.,"This is an expressive, animated teenage female voice that sounds slightly low-pitched and speaks fast."
slightly low-pitch,teenager,female,fast,slightly expressive and animated,unknown,"A teenage female voice with a slightly low pitch, fast delivery, and a mildly expressive, animated tone.","This is a teenage girl's voice, slightly low in pitch, speaking quickly with a touch of animation.",A fast-speaking teenage female voice that sits a little low in pitch and sounds lightly expressive.,"Her voice sounds like a teenager's, with a slightly low pitch, quick pace, and subtle energy.",A slightly low-pitched female teen voice that speaks fast and comes across as mildly animated.,"This voice belongs to a teenage girl, with a modestly low pitch, rapid speech, and light expressiveness.","A teen female voice with slightly low pitch, a quick speaking rate, and an animated feel.","The speaker sounds like a teenager with a slightly low voice, fast pacing, and gentle expressiveness.","A female teenage voice that is a bit low in pitch, speaks quickly, and sounds slightly lively.","This is a fast, slightly low-pitched teenage female voice with a mildly expressive, animated style."
slightly low-pitch,teenager,female,fast,monotone,unknown,"A teenage female voice with a slightly low pitch, fast delivery, and a monotone style.","This speaker sounds like a teenage girl with a slightly low-pitched, fast, monotone voice.",A fast-speaking teenage female voice that is slightly low in pitch and fairly monotone.,"The voice of a teenage female, with a slightly low pitch, quick pace, and monotone delivery.","A teenage girl’s voice that is slightly low-pitched, speaks quickly, and stays monotone.","This is a female teenage voice with a slightly low pitch, rapid speaking rate, and monotone tone.","A slightly low-pitched, fast, monotone voice from a teenage female speaker.","The speaker sounds female and teenage, with a slightly low pitch and a fast, monotone cadence.","A teenage female voice that runs fast, sits slightly low in pitch, and remains monotone.","This voice is teenage and female, with a slightly low pitch, quick speech, and a monotone quality."
slightly low-pitch,teenager,female,fast,unknown,unknown,A teenage female voice with a slightly low pitch and fast speaking rate.,A fast-speaking teenage girl with a slightly low-pitched voice.,A teenage female speaker whose voice is slightly low in pitch and quick in delivery.,A young female voice with a slightly low pitch and a fast pace.,A teenage girl speaking quickly with a slightly low voice.,A female teenage voice that sounds slightly low-pitched and speaks fast.,A fast-talking teenage female with a slightly low-pitched voice.,A teenage female speaker with a low-leaning pitch and brisk speech.,"A girl’s voice in the teenage range, slightly low in pitch and rapid in rate.",A slightly low-pitched teenage female voice that speaks at a fast pace.
slightly low-pitch,teenager,female,fast,very monotone,unknown,"A teenage female voice with a slightly low pitch, fast pace, and a very monotone delivery.","This is a teenage girl speaking quickly in a slightly low pitch with a very flat, monotone style.",A fast-speaking teenage female voice that sits slightly low in pitch and sounds very monotone.,"The speaker sounds like a teenage girl with a slightly low-pitched voice, talking fast and very monotonously.","A teenage female voice, slightly low in pitch, with quick speech and a very monotone tone.","This voice belongs to a teenage girl and has a slightly low pitch, fast delivery, and very little variation.","A teenage female speaker with a slightly low voice, speaking fast in a very monotone way.","The voice sounds teenage and female, with slightly low pitch, quick pacing, and a very monotone sound.",A slightly low-pitched teenage girl’s voice that moves quickly and stays very monotone.,"A fast, very monotone teenage female voice with a slightly low pitch."
slightly low-pitch,teenager,female,fast,very expressive and animated,unknown,"A teenage female voice with a slightly low pitch, fast delivery, and a very expressive, animated tone.","This is a teenage girl’s voice that sounds slightly low-pitched, speaks quickly, and feels lively and expressive.","A fast-speaking teenage female voice with a slightly low pitch and a highly animated, expressive style.","The voice sounds like a teenage girl, slightly low in pitch, quick in pace, and very expressive.","A teenage female voice that carries a slightly low pitch, moves at a fast speaking rate, and sounds animated.","This profile has a teenage female voice with a slightly low pitch and a quick, expressive delivery.","A lively teenage girl’s voice, slightly low in pitch, fast-paced, and very animated.","The speaker sounds like a teenager with a female voice, slightly low-pitched, fast, and full of expression.","A fast, expressive teenage female voice with a slightly low pitch and an animated feel.",This is a very animated teenage female voice that speaks quickly and has a slightly low pitch.
slightly low-pitch,teenager,female,unknown,expressive and animated,unknown,"A teenage female voice with a slightly low pitch and an expressive, animated delivery.","This speaker sounds like a teenage girl with a slightly low-pitched, lively voice.","An expressive, animated teenage female voice with a slightly low pitch.",A teenage girl’s voice that is slightly low in pitch and full of animation.,She has a teenage female voice that sits slightly low and sounds very expressive.,"A lively, animated voice from a teenage female speaker with a slightly low pitch.",A slightly low-pitched teenage girl voice that comes across as expressive and animated.,"This is a teenage female voice, slightly low in pitch and very animated.",A teenager’s female voice with a mildly low pitch and an expressive style.,"An animated, expressive voice from a teenage girl with a slightly low pitch."
slightly low-pitch,teenager,female,unknown,slightly expressive and animated,unknown,A teenage female voice with a slightly low pitch and a touch of animated expression.,"This speaker sounds like a teenage girl with a slightly low-pitched, lively voice.",A slightly low-pitched teenage female voice that comes across as expressive and animated.,"The voice is teenage and female, with a slightly low pitch and a naturally animated tone.",A young female voice with a slightly low pitch and a bit of expressive energy.,"This sounds like a teenage girl with a slightly low, subtly animated voice.",A female teenage voice that is slightly low in pitch and mildly expressive.,"The speaker has a teenage female voice, slightly low in pitch and pleasantly animated.","A slightly low-pitched voice from a teenage female, with a lively but not overly strong expressiveness.","This is a teenage girl’s voice with a slightly low pitch and a subtle, animated quality."
slightly low-pitch,teenager,female,unknown,monotone,unknown,A teenage female voice with a slightly low pitch and a monotone delivery.,"This profile sounds like a teenage girl speaking in a slightly low-pitched, monotone tone.",A female teenager with a slightly low voice and very monotone speech.,The speaker has a teenage female voice that is slightly low-pitched and monotone.,"A slightly low-pitched, monotone voice belonging to a teenage female.","This sounds like a teenage girl with a mildly low pitch and flat, monotone speech.",A female teenage voice with slightly low pitch and little variation in tone.,"The profile describes a teenager girl speaking in a slightly low-pitched, monotone style.",A monotone teenage female voice that sits slightly lower in pitch.,This is a teenage female speaker with a slightly low pitch and a steady monotone delivery.
slightly low-pitch,teenager,female,unknown,unknown,unknown,A teenage female voice with a slightly low pitch.,This speaker has a slightly low-pitched teenage girl voice.,"A young female voice in the teen range, just a bit low in pitch.",A teenage girl speaking with a slightly low-pitched voice.,This is a female teenage voice with a mildly low pitch.,"A young woman’s voice in the teenage range, slightly low in pitch.",A teen female voice that sounds a little low-pitched.,A slightly low-pitched voice from a teenage female speaker.,A female teen voice with a modestly low pitch.,This voice sounds like a teenage girl with a slightly low pitch.
slightly low-pitch,teenager,female,unknown,very monotone,unknown,A teenage female voice with a slightly low pitch and very monotone delivery.,A slightly low-pitched teenage girl's voice that sounds very monotone.,A female teenager speaks in a very monotone tone with a slightly low pitch.,A very monotone teenage female voice with a mildly low pitch.,"A girl's voice in her teen years, slightly low in pitch and very monotone.",A teenage female speaker with a slightly low voice and a very flat delivery.,"A very flat, monotone teenage girl's voice with a slightly low pitch.",A female teen voice that is slightly low-pitched and extremely monotone.,"A teenage girl's voice, marked by a slightly low pitch and very monotone speech.",A young female voice that sounds slightly low-pitched and very monotone.
slightly low-pitch,teenager,female,unknown,very expressive and animated,unknown,"A teenage female voice with a slightly low pitch and very expressive, animated delivery.","This is a teenage girl’s voice, slightly low in pitch and highly expressive throughout.",A female teenager speaks here with a mildly low pitch and a very animated style.,The voice sounds like a teenage girl with a slightly low pitch and lively expression.,"A female teen voice with a slightly low pitch and strong, animated expressiveness.",This profile features a teenage female voice that is slightly low-pitched and very dynamic.,"A teenage girl’s voice, a bit low in pitch, with an especially expressive and animated tone.",The speaker has a female teenage voice with a slightly low pitch and plenty of animation.,A slightly low-pitched teenage female voice that sounds very expressive and lively.,This is a very animated teenage girl’s voice with a slightly low pitch.
slightly low-pitch,teenager,female,slowly,slightly expressive and animated,unknown,"A teenage female voice with a slightly low pitch, speaking slowly and with a touch of expressiveness.","A young female teen voice that sounds slightly low-pitched, slow in pace, and a bit animated.","This is a teenage girl’s voice, slightly low in pitch, with slow delivery and mild expressiveness.","A female teenage voice with a somewhat low pitch, speaking slowly and sounding lightly animated.","The voice belongs to a teenager and female speaker, with slightly low pitch, slow speech, and gentle animation.",A slow-speaking teenage female voice that carries a slightly low pitch and a hint of expression.,"This voice sounds like a teenage girl, slightly low-pitched, slow-paced, and mildly expressive.","A female teen voice with a modestly low pitch, deliberate pacing, and slight animation.","The speaker has a teenage female voice, slightly low in pitch, with slow, lightly expressive speech.","A young female voice that is slightly low-pitched, speaks slowly, and sounds a bit animated."
slightly low-pitch,teenager,female,slowly,monotone,unknown,"A teenage female voice with a slightly low pitch, speaking slowly in a monotone way.","A slow, monotone teenage girl’s voice with a slightly low pitch.","This is a teenage female speaker with slightly low pitch, slow pacing, and a monotone delivery.",A slightly low-pitched teenage female voice that speaks slowly and sounds monotone.,"The voice sounds like a teenage girl with a slightly low pitch, speaking at a slow, monotone rate.","A female teenager’s voice, slightly low in pitch, with slow and monotone speech.","This speaker has a teenage female voice that is slightly low-pitched, slow, and monotone.","A slow, monotone voice from a teenage female speaker with a slightly low pitch.","A teenage girl’s voice that is a little low-pitched, spoken slowly and with little variation.","This voice profile is a slightly low-pitched teenage female voice with slow, monotone speech."
slightly low-pitch,teenager,female,slowly,unknown,unknown,A teenage female voice with a slightly low pitch and a slow speaking rate.,"This speaker sounds like a teenage girl with a slightly low-pitched, slow voice.","A slowly spoken, slightly low-pitched female teen voice.","The voice is female, teenage, slightly low in pitch, and delivered slowly.",A slow-speaking teenage female voice with a slightly low pitch.,This sounds like a teenage girl speaking slowly in a slightly low pitch.,A slightly low-pitched female teen voice that speaks at a slow pace.,The speaker has a teenage female voice that is a bit low in pitch and slow overall.,A slowly delivered voice from a teenage female with a slightly low pitch.,"This is a teenage female voice, slightly low-pitched and spoken slowly."
slightly low-pitch,teenager,female,slightly slowly,slightly expressive and animated,unknown,"A teenage female voice with a slightly low pitch, speaking a bit slowly and sounding slightly expressive and animated.","This is a teenage girl’s voice, slightly low in pitch, delivered a little slowly with mild animation.",A slightly low-pitched teenage female voice that speaks somewhat slowly and with gentle expressiveness.,"The voice sounds like a teenage female, a bit low in pitch, slightly slow in pace, and mildly animated.","A teenage girl’s voice with a slightly low pitch and a somewhat slow, lightly expressive delivery.","This profile has a teenage female voice that is slightly low in pitch, speaks a little slowly, and sounds animated.","A slightly low-pitched teenage voice from a female speaker, with a mildly slow and expressive style.","The speaker sounds like a teenage girl, with slightly low pitch, a slightly slow rate, and some animation.","A teenage female voice that is a bit low-pitched, slightly slow, and just a little lively in tone.","This is a female teenage voice with a slightly low pitch and a mildly expressive, slightly slow delivery."
slightly low-pitch,teenager,female,slightly slowly,monotone,unknown,"A teenage female voice with a slightly low pitch and a monotone delivery, speaking a little slowly.","This is a teenage girl’s voice, slightly low in pitch, monotone, and spoken at a slightly slow rate.",A slightly low-pitched female teen voice that sounds monotone and speaks somewhat slowly.,"The voice sounds like a teenage female with a slightly low pitch, a monotone style, and a slightly slow pace.",A monotone teenage girl’s voice with a slightly low pitch and a speech rate that is a bit slow.,"This profile has a teenage female voice, slightly low in pitch, delivered in a monotone and slightly slow manner.","A young female voice with a slightly low pitch, monotone expression, and slightly slow speaking speed.",It sounds like a teenage female speaker with a slightly low pitch who speaks a little slowly and stays monotone.,"A slightly low-pitched teenage girl voice, monotone throughout, with a slightly slow speaking rate.","The voice is teenage, female, slightly low-pitched, monotone, and speaks at a mildly slow pace."
slightly low-pitch,teenager,female,slightly slowly,unknown,unknown,A slightly low-pitched teenage female voice that speaks a bit slowly.,This teenage female voice has a slightly low pitch and a slightly slow speaking rate.,"A young female voice with a slightly low pitch, delivered at a slightly slow pace.",She sounds like a teenager with a slightly low voice and a slightly slow way of speaking.,A slightly low-pitched female teen voice that comes across as mildly slow in speech.,This is a teenage girl’s voice with slightly low pitch and slightly slow delivery.,"A female teenage voice, slightly low in pitch, speaking at a slightly slow rate.","Her voice sounds slightly low-pitched and teenage, with a slightly slow cadence.",A teenage female speaker with a slightly low pitch and a gently slow speaking style.,"This voice is female and teenage, with a slightly low pitch and a slightly slow pace."
slightly low-pitch,teenager,female,slightly slowly,very monotone,unknown,"A teenage female voice with a slightly low pitch, speaking slightly slowly in a very monotone way.","This speaker sounds like a teenage girl with a slightly low-pitched, very monotone voice and a slightly slow speaking rate.",A very monotone teenage female voice that is slightly low in pitch and delivers words a bit slowly.,"The voice belongs to a teenage female speaker and sounds slightly low-pitched, slightly slow, and very monotone.",A slightly low-pitched teenage girl’s voice that speaks a little slowly and stays very monotone throughout.,"This is a teenage female voice with a somewhat low pitch, a slightly slow pace, and very little variation in tone.","A very monotone voice from a teenage female speaker, with slightly low pitch and slightly slow delivery.","The speaker sounds like a teenage girl with a slightly low pitch, speaking slightly slowly in a very monotone manner.","A teenage female voice that is slightly low-pitched, slightly slow, and extremely monotone.","This voice sounds like a teenage female speaker with a slightly low pitch and a very monotone, slightly slow delivery."
slightly low-pitch,teenager,male,slightly fast,expressive and animated,unknown,"A teenage male voice with a slightly low pitch, a slightly fast pace, and an expressive, animated tone.","This speaker sounds like a teenage boy with a slightly low pitch and a speech style that is a bit fast, lively, and expressive.",A male teenager with a slightly low-pitched voice who speaks slightly fast and with plenty of animation.,"The voice belongs to a teenage male and has a slightly low pitch, a mildly quick delivery, and an expressive feel.","A slightly low-pitched teenage boy’s voice that comes across as animated, expressive, and a little fast.",This is a male teen voice with a slightly low pitch and a speaking style that is slightly fast and full of expression.,"A teenage male speaker with a somewhat low pitch, a slightly fast rate, and a lively, animated manner.","The voice sounds like a teenage boy, slightly low in pitch, speaking a bit quickly and with strong expressiveness.","A male teen voice that is slightly low-pitched, slightly fast, and notably expressive and animated.","A teenage male with a slightly low voice pitch and a delivery that is mildly fast, energetic, and animated."
slightly low-pitch,teenager,male,slightly fast,slightly expressive and animated,unknown,"A teenage male voice with a slightly low pitch, a slightly fast pace, and a lightly expressive, animated tone.","This is a male teenager speaking in a slightly low pitch, with a somewhat quick delivery and mild animation.",A slightly low-pitched teenage boy’s voice that talks a bit fast and sounds gently expressive.,"The speaker sounds like a male teenager with a slightly low pitch, a brisk speaking rate, and a touch of animation.","A teenage male voice, slightly low in pitch, moving at a slightly fast pace with mild expressiveness.","This voice belongs to a teenage male and has a slightly low pitch, a quick-ish delivery, and a lively feel.","A male teen speaking with a slightly low pitch, a slightly fast rhythm, and a bit of animated expression.","The voice is teenage and male, with a slightly low pitch, a somewhat rapid pace, and a lightly expressive style.",A slightly low-pitched male teenage voice that sounds a little fast and a little animated.,"This is a teenage boy’s voice with slightly low pitch, slightly fast speech, and a subtly expressive tone."
slightly low-pitch,teenager,male,slightly fast,monotone,unknown,"A teenage male voice with a slightly low pitch, a slightly fast pace, and a monotone delivery.",This is a male teenager speaking in a slightly low-pitched voice that sounds slightly fast and monotone.,A slightly low-pitched teenage male voice that comes across as slightly fast and monotone.,"The speaker sounds like a teenage male with a slightly low pitch, quickened speech, and a monotone tone.","A male teen voice, slightly low in pitch, speaking a bit fast with a monotone style.","This voice belongs to a teenage male and sounds slightly low-pitched, slightly fast, and monotone.",A slightly low-pitched male teenager speaking at a slightly fast rate with a monotone delivery.,"The profile is of a teenage male voice that is slightly low-pitched, slightly fast, and flat in tone.","A teenage boy’s voice with a slightly low pitch, a slightly fast speaking rate, and a monotone sound.",This is a monotone teenage male voice that sounds slightly low-pitched and speaks slightly fast.
